txn_id,src_account_id,dst_account_id,amount,timestamp,currency,channel,memo
T0001,A0080,A0060,2000,2025-12-21T23:13:19.850526,CNY,WEB,工资
T0002,A0041,A0120,10000,2025-12-21T23:16:19.850526,CNY,WEB,转账
T0003_A0041_A0241,A0041,A0241,5000,2025-12-21T23:17:19.850526,CNY,WEB,保证金
T0003_A0241_A0190,A0241,A0190,5000,2025-12-21T23:17:03.850526,CNY,WEB,转账
T0003_A0190_A0151,A0190,A0151,5000,2025-12-21T23:17:49.850526,CNY,WEB,生活费
T0003_A0151_A0090,A0151,A0090,5000,2025-12-21T23:17:53.850526,CNY,WEB,工资
T0004,A0271,A0060,20000,2025-12-21T23:22:19.850526,CNY,WEB,工资
T0006,A0080,A0050,5000,2025-12-21T23:22:19.850526,CNY,ATM,工资
T0007,A0260,A0141,1000,2025-12-21T23:31:19.850526,CNY,APP,工资
T0008,A0030,A0060,2000,2025-12-21T23:34:19.850526,CNY,APP,保证金
T0009_A0030_A0240,A0030,A0240,20000,2025-12-21T23:20:17.850526,CNY,WEB,解冻
T0009_A0240_A0020,A0240,A0020,20000,2025-12-21T23:19:33.850526,CNY,APP,生活费
T0009_A0020_A0200,A0020,A0200,20000,2025-12-21T23:19:36.850526,CNY,ATM,解冻
T0009_A0200_A0270,A0200,A0270,20000,2025-12-21T23:21:01.850526,CNY,APP,转账
T0010,A0141,A0030,20000,2025-12-21T23:30:19.850526,CNY,ATM,解冻
T0011_A0210_A0250,A0210,A0250,500,2025-12-21T23:21:26.850526,CNY,ATM,保证金
T0011_A0250_A0170,A0250,A0170,500,2025-12-21T23:22:13.850526,CNY,WEB,解冻
T0011_A0170_A0090,A0170,A0090,500,2025-12-21T23:22:00.850526,CNY,APP,生活费
T0011_A0090_A0051,A0090,A0051,500,2025-12-21T23:22:09.850526,CNY,APP,工资
T0012,A0010,A0260,500,2025-12-21T23:34:19.850526,CNY,ATM,生活费
T0013,A0221,A0060,500,2025-12-21T23:23:19.850526,CNY,ATM,转账
T0014,A0081,A0120,20000,2025-12-21T23:24:19.850526,CNY,ATM,转账
T0015,A0030,A0151,2000,2025-12-21T23:25:19.850526,CNY,WEB,转账
T0016_A0050_A0271,A0050,A0271,20000,2025-12-21T23:27:03.850526,CNY,ATM,工资
T0016_A0271_A0100,A0271,A0100,20000,2025-12-21T23:27:20.850526,CNY,WEB,转账
T0016_A0100_A0101,A0100,A0101,20000,2025-12-21T23:27:13.850526,CNY,WEB,转账
T0016_A0101_A0090,A0101,A0090,20000,2025-12-21T23:27:51.850526,CNY,ATM,解冻
T0017,A0041,A0060,5000,2025-12-21T23:44:19.850526,CNY,ATM,工资
T0018,A0160,A0141,10000,2025-12-21T23:28:19.850526,CNY,ATM,转账
T0019_A0250_A0301,A0250,A0301,5000,2025-12-21T23:30:14.850526,CNY,ATM,投资
T0019_A0301_A0151,A0301,A0151,5000,2025-12-21T23:30:09.850526,CNY,WEB,保证金
T0019_A0151_A0160,A0151,A0160,5000,2025-12-21T23:30:24.850526,CNY,WEB,转账
T0019_A0160_A0180,A0160,A0180,5000,2025-12-21T23:30:15.850526,CNY,ATM,转账
T0020_A0050_A0170,A0050,A0170,20000,2025-12-22T00:10:57.850526,CNY,ATM,转账
T0020_A0170_A0101,A0170,A0101,20000,2025-12-22T00:10:46.850526,CNY,WEB,解冻
T0020_A0101_A0180,A0101,A0180,20000,2025-12-22T00:11:46.850526,CNY,WEB,转账
T0020_A0180_A0290,A0180,A0290,20000,2025-12-22T00:11:13.850526,CNY,APP,工资
T0021_A0280_A0141,A0280,A0141,500,2025-12-21T23:32:46.850526,CNY,WEB,保证金
T0021_A0141_A0260,A0141,A0260,500,2025-12-21T23:31:32.850526,CNY,ATM,解冻
T0021_A0260_A0300,A0260,A0300,500,2025-12-21T23:32:07.850526,CNY,WEB,解冻
T0021_A0300_A0080,A0300,A0080,500,2025-12-21T23:31:44.850526,CNY,ATM,投资
T0022,A0170,A0140,1000,2025-12-22T00:16:19.850526,CNY,APP,生活费
T0023,A0050,A0041,10000,2025-12-21T23:56:19.850526,CNY,ATM,解冻
T0024_A0110_A0090,A0110,A0090,500,2025-12-22T00:22:22.850526,CNY,WEB,转账
T0024_A0090_A0190,A0090,A0190,500,2025-12-22T00:23:59.850526,CNY,WEB,投资
T0024_A0190_A0031,A0190,A0031,500,2025-12-22T00:22:57.850526,CNY,ATM,转账
T0024_A0031_A0250,A0031,A0250,500,2025-12-22T00:23:55.850526,CNY,WEB,保证金
T0025,A0050,A0180,20000,2025-12-22T00:25:19.850526,CNY,WEB,保证金
T0026_A0090_A0020,A0090,A0020,10000,2025-12-22T00:29:25.850526,CNY,APP,保证金
T0026_A0020_A0150,A0020,A0150,10000,2025-12-22T00:30:19.850526,CNY,ATM,工资
T0026_A0150_A0160,A0150,A0160,10000,2025-12-22T00:28:40.850526,CNY,WEB,投资
T0026_A0160_A0221,A0160,A0221,10000,2025-12-22T00:30:03.850526,CNY,APP,投资
T0027,A0200,A0050,10000,2025-12-22T00:31:19.850526,CNY,WEB,生活费
T0028,A0101,A0190,20000,2025-12-22T00:34:19.850526,CNY,WEB,转账
T0029,A0241,A0010,500,2025-12-22T00:37:19.850526,CNY,APP,解冻
T0030,A0010,A0220,1000,2025-12-21T23:40:19.850526,CNY,WEB,生活费
T0031,A0240,A0211,1000,2025-12-22T00:12:19.850526,CNY,ATM,投资
T0032,A0140,A0041,5000,2025-12-22T00:14:19.850526,CNY,ATM,生活费
T0033,A0020,A0050,2000,2025-12-22T00:49:19.850526,CNY,ATM,解冻
T0034,A0051,A0071,2000,2025-12-22T00:52:19.850526,CNY,APP,转账
T0035,A0170,A0200,500,2025-12-22T00:55:19.850526,CNY,APP,工资
T0036,A0180,A0231,5000,2025-12-22T00:58:19.850526,CNY,APP,工资
T0037,A0090,A0050,500,2025-12-22T00:24:19.850526,CNY,ATM,生活费
T0038,A0010,A0120,10000,2025-12-22T01:04:19.850526,CNY,ATM,投资
T0039,A0070,A0200,10000,2025-12-21T23:49:19.850526,CNY,WEB,投资
T0040,A0060,A0060,1000,2025-12-22T00:30:19.850526,CNY,WEB,解冻
T0041,A0050,A0060,2000,2025-12-21T23:51:19.850526,CNY,WEB,保证金
T0042,A0010,A0100,5000,2025-12-22T00:34:19.850526,CNY,APP,生活费
T0043_A0101_A0120,A0101,A0120,1000,2025-12-22T01:19:23.850526,CNY,ATM,投资
T0043_A0120_A0301,A0120,A0301,1000,2025-12-22T01:19:26.850526,CNY,APP,转账
T0043_A0301_A0030,A0301,A0030,1000,2025-12-22T01:21:17.850526,CNY,ATM,工资
T0043_A0030_A0050,A0030,A0050,1000,2025-12-22T01:21:05.850526,CNY,APP,解冻
T0044,A0050,A0060,10000,2025-12-21T23:54:19.850526,CNY,APP,解冻
T0045,A0270,A0060,20000,2025-12-22T00:40:19.850526,CNY,WEB,工资
T0046_A0280_A0030,A0280,A0030,500,2025-12-22T01:29:28.850526,CNY,WEB,保证金
T0046_A0030_A0151,A0030,A0151,500,2025-12-22T01:29:24.850526,CNY,APP,工资
